district,year,murder,attempt_to_murder,rape,kidnapping,dacoity,robbery,burglary,theft,riots,cheating,dowry_deaths,total_crimes,population,crime_rate_per_100k
Tumkur,2017,105.0,9.0,56.0,567.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,6569.0,2096829.0,313.28
Tumkur,2018,248.0,10.0,61.0,628.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,7595.0,2096829.0,362.21
Tumkur,2019,129.0,14.0,56.0,657.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,6490.0,2096829.0,309.51
Tumkur,2020,84.0,4.0,69.0,555.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,6226.0,2096829.0,296.92
Tumkur,2021,167.0,12.0,63.0,543.0,107.0,4.0,0.0,0.0,0.0,0.0,0.0,7221.0,2096829.0,344.38
Tumkur,2022,193.0,15.0,95.0,615.0,103.0,4.0,0.0,0.0,0.0,0.0,0.0,7517.0,2096829.0,358.49
Udupi,2013,20.0,26.0,22.0,23.0,7.0,41.0,110.0,120.0,128.0,146.0,2.0,2667.0,980688.0,271.95
Udupi,2016,3.0,11.0,212.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,395.0,980688.0,40.28
Udupi,2017,15.0,3.0,6.0,220.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,3145.0,980688.0,320.69
Udupi,2018,61.0,5.0,10.0,213.0,146.0,6.0,0.0,0.0,0.0,0.0,0.0,3988.0,980688.0,406.65
Udupi,2019,39.0,5.0,11.0,242.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,3158.0,980688.0,322.02
Udupi,2020,36.0,4.0,6.0,171.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,2709.0,980688.0,276.23
Udupi,2021,25.0,4.0,7.0,182.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,2800.0,980688.0,285.51
Udupi,2022,37.0,3.0,3.0,231.0,68.0,4.0,0.0,0.0,0.0,0.0,0.0,3018.0,980688.0,307.74
Uttara Kannada,2013,18.0,24.0,17.0,51.0,4.0,35.0,67.0,99.0,128.0,138.0,6.0,2977.0,1085019.0,274.37
Uttara Kannada,2016,6.0,15.0,177.0,67.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,457.0,1085019.0,42.12
Uttara Kannada,2017,37.0,1.0,22.0,222.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.0,1085019.0,323.4
Uttara Kannada,2018,48.0,16.0,23.0,235.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,4252.0,1085019.0,391.88
Uttara Kannada,2019,42.0,8.0,21.0,197.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,3394.0,1085019.0,312.81
Uttara Kannada,2020,21.0,8.0,12.0,188.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,3061.0,1085019.0,282.11
Uttara Kannada,2021,36.0,2.0,10.0,181.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,3244.0,1085019.0,298.98
Uttara Kannada,2022,36.0,10.0,14.0,225.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0,3731.0,1085019.0,343.86
Yadgir,2013,33.0,31.0,16.0,29.0,1.0,8.0,46.0,54.0,204.0,30.0,3.0,1489.0,966570.0,154.05
Yadgir,2016,3.0,6.0,207.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,966570.0,51.21
Yadgir,2017,47.0,4.0,5.0,135.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0,966570.0,206.3
Yadgir,2018,58.0,4.0,7.0,126.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,966570.0,271.58
Yadgir,2019,28.0,6.0,5.0,149.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,2042.0,966570.0,211.26
Yadgir,2020,34.0,6.0,6.0,129.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2221.0,966570.0,229.78
Yadgir,2021,34.0,4.0,14.0,129.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.0,966570.0,215.71
Yadgir,2022,41.0,2.0,7.0,157.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.0,966570.0,197.5
